task_id,episode_id,time,x,x_dot,theta,theta_dot,u,x_ddot_true,theta_ddot_true,x_ddot_nom,theta_ddot_nom,res_x_ddot,res_theta_ddot,pole_length,cart_mass,pole_mass
0,0,1.46,0.07353324255889393,0.0039297392880165115,-0.04390769017177643,-0.03911172749295063,-0.8718604403693154,-1.1024754017173786,1.3410214409937993,-1.480518421189065,2.797158396373601,0.3780430194716864,-1.4561369553798018,0.375,0.75,0.07500000000000001
0,0,1.48,0.07317084718396731,-0.01811976874633106,-0.04415351614523792,-0.012291298673074644,-0.8540415628430543,-1.0791222440524397,1.289580424997573,-1.4494378880023613,2.707897006336538,0.37031564394992156,-1.4183165813389649,0.375,0.75,0.07500000000000001
0,0,1.5,0.07237680291141971,-0.039702213627379856,-0.04388350994870038,0.013500309826876819,-0.8283619372337435,-1.045919791052389,1.2286198209953136,-1.4051003620776423,2.596872680962559,0.35918057102525336,-1.3682528599672454,0.375,0.75,0.07500000000000001
0,0,1.52,0.07116439072245115,-0.060620609448427634,-0.04312205582376472,0.03807270624678309,-0.7953681703154958,-1.0035606643506125,1.1590372881809676,-1.348435356553187,2.4659110568527556,0.3448746922025745,-1.306873768671788,0.375,0.75,0.07500000000000001
0,0,1.54,0.06955055426774236,-0.08069182273543989,-0.041896986783556675,0.06125345201040244,-0.7556519993540712,-0.9527933981880364,1.081771861551279,-1.280447820592872,2.3169434781009595,0.32765442240483555,-1.2351716165496804,0.375,0.75,0.07500000000000001
0,0,1.56,0.06755560045375834,-0.09974769069920061,-0.04023920899872811,0.08288888924142802,-0.7098426659564095,-0.8944129269313275,0.997793488175628,-1.2022053378740487,2.151984881505523,0.30779241094272125,-1.1541913933298948,0.375,0.75,0.07500000000000001
0,0,1.58,0.0652028814690018,-0.11763594923782716,-0.0381823138186293,0.10284475900494058,-0.6585993988038842,-0.8292512223228062,0.9080931196421748,-1.1148255231178654,1.973112571345105,0.2855743007950592,-1.06501945170293,0.375,0.75,0.07500000000000001
0,0,1.6,0.06251846199531613,-0.1342209736842833,-0.035762181390673616,0.12100662139778408,-0.6026040946356922,-0.7581681827626904,0.8136733847601767,-1.0194637558953323,1.7824459579813805,0.26129557313264196,-0.9687725732212038,0.375,0.75,0.07500000000000001
0,0,1.62,0.05953077524852539,-0.1493843373395371,-0.033016579608813865,0.1372800890929876,-0.5425542649842816,-0.682042850893845,0.7155398383687145,-0.9173013557079964,1.5821272820648038,0.23525850481415145,-0.8665874436960893,0.375,0.75,0.07500000000000001
0,0,1.6400000000000001,0.056270271361377106,-0.163025194357414,-0.029984761891606627,0.1515908858603619,-0.47915628666721943,-0.6017650002277664,0.6146927392379903,-0.8095342543881892,1.3743032680939897,0.2077692541604228,-0.7596105288559994,0.375,0.75,0.07500000000000001
0,0,1.6600000000000001,0.05276906147413772,-0.17506049436196933,-0.026707067078704193,0.1638847406451217,-0.4131189871313678,-0.5182271255559007,0.5121193277656074,-0.6973622132943564,1.1611076814509584,0.17913508773845577,-0.648988353685351,0.375,0.75,0.07500000000000001
0,0,1.68,0.04906056073667597,-0.18542503687308734,-0.023224524534695517,0.17412712720043386,-0.3451475698017332,-0.43231684106763146,0.40878654185047963,-0.5819785911367572,0.944644704732771,0.14966175006912574,-0.5358581628822914,0.375,0.75,0.07500000000000001
